"source","target","pathway_name","prob","pval"
"C3","C3","ACTIVIN",3.01973494440113e-05,0.015
"C3","C3","AGRN",0.000141831600261484,0
"C3","C3","ANGPT",0.00203345965116543,0.00333333333333333
"C3","C3","ANGPTL",0.000829387044842184,0.0133333333333333
"C3","C3","APP",0.0670810878076304,0
"C3","C3","BMP",0.000229158262487172,0
"C3","C3","CALCR",0.00240308699312009,0
"C3","C3","CD39",3.50442810367105e-05,0
"C3","C3","CD46",0.0130154110853114,0
"C3","C3","CDH5",0.0584102601883818,0
"C3","C3","COLLAGEN",0.119430753532909,0.0048
"C3","C3","CXCL",0.000510324691116541,0.01
"C3","C3","EDN",0.0078838661918791,0
"C3","C3","EPHA",0.0169056822006123,0
"C3","C3","EPHB",0.0133317130328703,0
"C3","C3","ESAM",0.107013465345358,0
"C3","C3","FGF",0.0012419346148868,0
"C3","C3","FN1",0.0111899810841261,0.00666666666666667
"C3","C3","GALECTIN",0.000153906620845594,0
"C3","C3","GAS",0.00600121745762568,0
"C3","C3","GRN",0.00382814044718144,0
"C3","C3","HSPG",0.000443944880267869,0.02
"C3","C3","IL6",6.55126324263335e-05,0
"C3","C3","JAM",0.0260468647019989,0
"C3","C3","LAMININ",0.164230826040891,0.00232558139534884
"C3","C3","MK",0.00820053203678168,0.0075
"C3","C3","MPZ",0.000642354689102669,0
"C3","C3","NOTCH",0.0339344701899516,0
"C3","C3","NPR1",0.0066900725422174,0
"C3","C3","PDGF",0.00199976851766532,0.015
"C3","C3","PECAM1",0.0802163651689174,0
"C3","C3","PERIOSTIN",0.000420890646686421,0.005
"C3","C3","PROS",0.00094778326416528,0
"C3","C3","PTN",0.00110738181100962,0.02
"C3","C3","PTPRM",0.0151722961035869,0
"C3","C3","SEMA3",0.000228615416404767,0.0133333333333333
"C3","C3","SEMA6",0.000949254305829876,0
"C3","C3","TGFb",0.00116519368430523,0
"C3","C3","THBS",0.0391587863299389,0
"C3","C3","THY1",1.85831657144848e-05,0
"C3","C3","TRAIL",0.00270410937659347,0
"C3","C3","VEGF",0.0183612601315144,0
"C3","C3","VISFATIN",0.00255919875137204,0
"C3","C3","VWF",0.00196627591494922,0
"C3","C4","AGRN",0.000124435394706805,0
"C3","C4","ANGPT",0.000614543568418522,0
"C3","C4","ANGPTL",0.000262656614320123,0.02
"C3","C4","APP",0.0586992278827719,0
"C3","C4","CALCR",0.00127829863771332,0
"C3","C4","CD46",0.00437039408887892,0
"C3","C4","CDH5",0.019259102517815,0
"C3","C4","CHEMERIN",0.000222420569111705,0
"C3","C4","COLLAGEN",0.0655542577299792,0.00882352941176471
"C3","C4","COMPLEMENT",4.17980117406162e-06,0.01
"C3","C4","CSF",0.000201299312997696,0
"C3","C4","CXCL",0.0110447031798436,0
"C3","C4","EDN",0.00300064029338048,0
"C3","C4","EPHA",0.00528195756091222,0.02
"C3","C4","EPHB",0.00284983866304794,0.01
"C3","C4","ESAM",0.0441044299721641,0
"C3","C4","FGF",0.00178282845750809,0
"C3","C4","FN1",0.0106934983207203,0
"C3","C4","GALECTIN",0.000816939258148473,0
"C3","C4","GAS",0.00803190624919629,0
"C3","C4","ICAM",5.80579168808959e-05,0
"C3","C4","IL6",0.000168266468341374,0
"C3","C4","JAM",0.0116709430107196,0.00125
"C3","C4","LAMININ",0.0950130045698967,0.0059375
"C3","C4","MHC-II",0.0444962887690141,0
"C3","C4","MK",0.0113596512022253,0
"C3","C4","MPZ",0.000667080238112926,0
"C3","C4","NOTCH",0.0198740772110893,0.0025
"C3","C4","PDGF",0.0041110145553648,0.0075
"C3","C4","PECAM1",0.037180137984815,0
"C3","C4","PERIOSTIN",0.000554720035677439,0
"C3","C4","PROS",0.00136037594383313,0
"C3","C4","PTN",0.00679226818625334,0.00333333333333333
"C3","C4","PTPRM",0.00480279258603258,0
"C3","C4","SEMA3",0.000242126213539036,0
"C3","C4","SEMA5",4.64613698290496e-06,0
"C3","C4","SEMA6",0.00034640322652195,0.015
"C3","C4","TGFb",0.000410115112256687,0
"C3","C4","THBS",0.0224519387866042,0
"C3","C4","THY1",7.40437970485854e-06,0
"C3","C4","TRAIL",0.000801457556250866,0
"C3","C4","TWEAK",3.57822708130421e-05,0
"C3","C4","VEGF",0.00179118967477448,0
"C3","C5","ACTIVIN",0.000270389008292995,0
"C3","C5","AGRN",0.000266605555008664,0
"C3","C5","AGT",0.000457854866290983,0
"C3","C5","BMP",0.0012651656242056,0.00555555555555556
"C3","C5","CADM",5.24862361221722e-05,0
"C3","C5","CALCR",0.000153825111250276,0
"C3","C5","CD39",0.000507237795865624,0
"C3","C5","CD45",4.80276599544465e-06,0
"C3","C5","CHEMERIN",0.000377710260773003,0
"C3","C5","COLLAGEN",0.00532552288372448,0.00333333333333333
"C3","C5","CSF",0.000199869451480831,0
"C3","C5","DESMOSOME",4.04365104606858e-08,0
"C3","C5","EPHA",0.0119852576928996,0.001
"C3","C5","EPHB",0.00579619304679117,0.00125
"C3","C5","FGF",0.000193550723510245,0.005
"C3","C5","FN1",0.00170294277102351,0
"C3","C5","GALECTIN",0.000470452555214744,0
"C3","C5","GAS",0.000718898359944898,0
"C3","C5","GDF",1.03197550646164e-05,0.0233333333333333
"C3","C5","HSPG",0.000834276125733199,0
"C3","C5","ICAM",0.000530612667295542,0
"C3","C5","IGF",0.000276606370860792,0.002
"C3","C5","IL6",0.0001483935033203,0
"C3","C5","JAM",0.00223622582690992,0
"C3","C5","LAMININ",0.0229350534857793,0.00730769230769231
"C3","C5","MK",0.00687991968454907,0
"C3","C5","NCAM",8.9868021742546e-07,0.01
"C3","C5","NOTCH",0.0230259964684035,0.001875
"C3","C5","NRXN",7.27932548206398e-06,0
"C3","C5","PDGF",0.00220300353294566,0.00333333333333333
"C3","C5","PERIOSTIN",0.000223102394170257,0
"C3","C5","PROS",0.000121019813586825,0
