"Condition","CM_Score","Ferro_Score","OXPHOS","Ferro_Def","NDUFB7"
"Donor",1.29416845611204,-0.141149087756085,0.173286795139986,0.115524530093324,0
"Donor",0.900155169872213,0.358351204480774,0.173286795139986,0.481728626316027,0
"Donor",0.961756469002656,-0.152239483201519,0,0.115524530093324,0
"Donor",0.814460840902421,-0.264347140454224,0.722592939474041,0,0
"Donor",1.23527395286298,0.0238986264424418,0.519860385419959,0,0
"Donor",1.09395937250114,0.149882928327832,0.346573590279973,0.462098120373297,0
"Donor",0.891174641269756,0.000327425285978067,0.447939867307014,0.115524530093324,0
"Donor",1.0814281437601,-0.128977852480083,0.794513457586986,0.115524530093324,0
"Donor",1.05279812528058,-0.114904956430619,0.346573590279973,0.115524530093324,0
"Donor",1.052386380504,-0.0870988789058707,0.274653072167027,0,0
"Donor",0.402596696381318,0.135369531660548,0.346573590279973,0.298626578204676,0
"Donor",0.607372009528284,0.0158833340408177,0.173286795139986,0.231049060186648,1
"DCM",1.34670051907054,-0.125602721170942,0,0,0
"DCM",0.26202923576051,0.0815560333625406,0,0.115524530093324,1
"Donor",1.00442347550704,-0.131499929059675,0.346573590279973,0.115524530093324,0
"Donor",0.877395694989613,0.055260643176448,0.173286795139986,0.231049060186648,0
"Donor",0.186034388650759,-0.0467136020788084,0,0.231049060186648,1
"Donor",0.529603191919303,-0.135544805574984,0,0.183102048111352,0
"Donor",1.01904863668424,0.136809385477795,0.173286795139986,0.298626578204676,0
"Donor",0.382040412134616,-0.209664831332805,0.447939867307014,0,0
"Donor",0.310014427705307,-0.178024131443695,0.173286795139986,0,0
"Donor",1.16920016342083,0.0348177873530867,0.274653072167027,0.183102048111352,0
"Donor",0.788606524607361,0.176055352369421,0.519860385419959,0.298626578204676,0
"Donor",1.32660332293459,0.0990274986182504,0.173286795139986,0,0
"Donor",1.3125824893048,0.090948330606107,0,0.231049060186648,0
"Donor",1.32027691042726,0.199494258123213,0.519860385419959,0.115524530093324,0
"Donor",0.0167878802264815,-0.126231907619217,0.621226662447,0.115524530093324,0
"DCM",0.110936821234641,-0.0937376577303162,0,0.115524530093324,1
"Donor",1.21859492172502,0.13616711042113,0.621226662447,0.115524530093324,1
"Donor",0.747531279990751,-0.0977284108820648,0.621226662447,0.115524530093324,1
"Donor",1.28653603010439,-0.18067964422099,0,0,1
"Donor",0.699582864320647,-0.091746060465286,0,0,1
"Donor",0.0175535712672168,-0.155831006008471,0.621226662447,0.115524530093324,0
"Donor",1.26502842697062,0.00954068413544445,0.173286795139986,0.115524530093324,1
"Donor",0.589861714013326,0.0949556321245001,0.274653072167027,0.597253156409352,1
"DCM",0.956242317853603,-0.108645247046791,0.519860385419959,0,0
"Donor",1.80390196342587,0.120568306957267,0.274653072167027,0.414151108298,0
"Donor",0.128170547829879,0.126470153264678,0.173286795139986,0,0
"Donor",1.182830912683,-0.184975502351268,0.346573590279973,0,0
"DCM",1.22622081934647,-0.0375319979731677,0.693147180559945,0,0
"Donor",1.27604405195338,-0.198504500530004,0.447939867307014,0,0
"Donor",1.49857142614092,-0.272917788799139,0.447939867307014,0.115524530093324,0
"Donor",1.02659181314168,-0.284362292058565,0.346573590279973,0.231049060186648,0
"Donor",0.197426140949121,-0.0810937109864705,0,0,0
"DCM",0.894839134836455,0.104406735236003,0.346573590279973,0.115524530093324,0
"Donor",0.976375017535569,0.131862494005139,0.173286795139986,0.231049060186648,0
"Donor",1.10635973199208,0.196805830084329,0,0.529675638391324,0
"Donor",0.491194931340907,-0.241877477664616,0.173286795139986,0,0
"Donor",1.00026450243437,-0.151708031953948,0,0,0
"Donor",0.47706126766415,0.257152492795299,0.346573590279973,0.298626578204676,0
"Donor",0.269352401789043,-0.225425103266704,0.173286795139986,0.231049060186648,0
