dataset,ndufb7_expression
GSE168742_human_HF_CM,311.93
GSE168742_human_HF_CM,265.958
GSE168742_human_HF_CM,32.0452
GSE168742_human_HF_CM,183.203
GSE168742_human_HF_CM,286.181
GSE168742_human_HF_CM,326.476
GSE168742_human_HF_CM,300.743
GSE168742_human_HF_CM,322.268
GSE168742_human_HF_CM,97.9575
GSE168742_human_HF_CM,181.564
GSE168742_human_HF_CM,209.213
GSE168742_human_HF_CM,178.216
GSE168742_human_HF_CM,452.348
GSE168742_human_HF_CM,502.243
GSE168742_human_HF_CM,122.668
GSE168742_human_HF_CM,265.235
GSE168742_human_HF_CM,213.137
GSE168742_human_HF_CM,313.616
GSE168742_human_HF_CM,151.735
GSE168742_human_HF_CM,263.398
GSE168742_human_HF_CM,250.117
GSE168742_human_HF_CM,209.319
GSE168742_human_HF_CM,83.9559
GSE168742_human_HF_CM,225.772
GSE168742_human_HF_CM,37.4478
GSE168742_human_HF_CM,97.6048
GSE168742_human_HF_CM,224.966
GSE168742_human_HF_CM,280.397
GSE168742_human_HF_CM,172.575
GSE168742_human_HF_CM,462.491
GSE168742_human_HF_CM,66.3656
GSE168742_human_HF_CM,59.9376
GSE168742_human_HF_CM,25.8064
GSE168742_human_HF_CM,2.19144
GSE168742_human_HF_CM,123.968
GSE168742_human_HF_CM,175.909
GSE168742_human_HF_CM,207.409
GSE168742_human_HF_CM,103.306
GSE168742_human_HF_CM,109.989
GSE168742_human_HF_CM,254.545
GSE168742_human_HF_CM,276.182
GSE168742_human_HF_CM,130.584
GSE168742_human_HF_CM,62.5137
GSE168742_human_HF_CM,14.166
GSE168742_human_HF_CM,308.638
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,280.124
GSE168742_human_HF_CM,3.73942
GSE168742_human_HF_CM,128.852
GSE168742_human_HF_CM,141.795
GSE168742_human_HF_CM,273.757
GSE168742_human_HF_CM,48.4875
GSE168742_human_HF_CM,237.934
GSE168742_human_HF_CM,294.891
GSE168742_human_HF_CM,75.5017
GSE168742_human_HF_CM,336.042
GSE168742_human_HF_CM,180.109
GSE168742_human_HF_CM,58.8526
GSE168742_human_HF_CM,165.471
GSE168742_human_HF_CM,191.72
GSE168742_human_HF_CM,46.664
GSE168742_human_HF_CM,73.0735
GSE168742_human_HF_CM,158.222
GSE168742_human_HF_CM,159.416
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,30.0675
GSE168742_human_HF_CM,69.6459
GSE168742_human_HF_CM,175.561
GSE168742_human_HF_CM,84.5964
GSE168742_human_HF_CM,52.8683
GSE168742_human_HF_CM,231.297
GSE168742_human_HF_CM,40.5448
GSE168742_human_HF_CM,50.4331
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,179.309
GSE168742_human_HF_CM,213.588
GSE168742_human_HF_CM,19.9906
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,170.813
GSE168742_human_HF_CM,114.404
GSE168742_human_HF_CM,40.0532
GSE168742_human_HF_CM,31.8961
GSE168742_human_HF_CM,230.268
GSE168742_human_HF_CM,148.093
GSE168742_human_HF_CM,222.317
GSE168742_human_HF_CM,379.934
GSE168742_human_HF_CM,38.2109
GSE168742_human_HF_CM,305.552
GSE168742_human_HF_CM,428.055
GSE168742_human_HF_CM,49.6914
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,87.0169
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,6.78083
GSE168742_human_HF_CM,341.564
GSE168742_human_HF_CM,96.5665
GSE168742_human_HF_CM,134.196
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,143.962
GSE168742_human_HF_CM,302.762
GSE168742_human_HF_CM,277.483
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,45.2253
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,419.879
GSE168742_human_HF_CM,237.738
GSE168742_human_HF_CM,424.264
GSE168742_human_HF_CM,13.0577
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,168.773
GSE168742_human_HF_CM,141.735
GSE168742_human_HF_CM,362.915
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,107.375
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,228.671
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,104.867
GSE168742_human_HF_CM,17.7032
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,227.851
GSE168742_human_HF_CM,172.131
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,1.84866
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,80.0472
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,470.912
GSE168742_human_HF_CM,91.8576
GSE168742_human_HF_CM,167.792
GSE168742_human_HF_CM,177.466
GSE168742_human_HF_CM,213.911
GSE168742_human_HF_CM,289.578
GSE168742_human_HF_CM,299.273
GSE168742_human_HF_CM,181.143
GSE168742_human_HF_CM,219.557
GSE168742_human_HF_CM,146.498
GSE168742_human_HF_CM,555.704
GSE168742_human_HF_CM,245.25
GSE168742_human_HF_CM,785.361
GSE168742_human_HF_CM,252.467
GSE168742_human_HF_CM,228.575
GSE168742_human_HF_CM,48.2674
GSE168742_human_HF_CM,578.111
GSE168742_human_HF_CM,136.793
GSE168742_human_HF_CM,339.201
GSE168742_human_HF_CM,87.4177
GSE168742_human_HF_CM,162.374
GSE168742_human_HF_CM,183.534
GSE168742_human_HF_CM,151.488
GSE168742_human_HF_CM,315.001
GSE168742_human_HF_CM,112.592
GSE168742_human_HF_CM,246.96
GSE168742_human_HF_CM,284.202
GSE168742_human_HF_CM,145.375
GSE168742_human_HF_CM,168.709
GSE168742_human_HF_CM,424.679
GSE168742_human_HF_CM,342.803
GSE168742_human_HF_CM,399.026
GSE168742_human_HF_CM,146.469
GSE168742_human_HF_CM,216.458
GSE168742_human_HF_CM,38.7743
GSE168742_human_HF_CM,367.474
GSE168742_human_HF_CM,165.412
GSE168742_human_HF_CM,236.406
GSE168742_human_HF_CM,487.263
GSE168742_human_HF_CM,487.772
GSE168742_human_HF_CM,370.301
GSE168742_human_HF_CM,170.85
GSE168742_human_HF_CM,344.574
GSE168742_human_HF_CM,378.978
GSE168742_human_HF_CM,299.044
GSE168742_human_HF_CM,100.715
GSE168742_human_HF_CM,419.057
GSE168742_human_HF_CM,613.545
GSE168742_human_HF_CM,359.88
GSE168742_human_HF_CM,400.394
GSE168742_human_HF_CM,448.663
GSE168742_human_HF_CM,122.465
GSE168742_human_HF_CM,57.0425
GSE168742_human_HF_CM,502.834
GSE168742_human_HF_CM,174.425
GSE168742_human_HF_CM,86.6409
GSE168742_human_HF_CM,237.62
GSE168742_human_HF_CM,744.99
GSE168742_human_HF_CM,454.87
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,464.02
GSE168742_human_HF_CM,493.108
GSE168742_human_HF_CM,506.027
