cell_id,ndufb7_expression,cell_type
SC_92563_17_6,2,N_LA_CM
SC_92563_17_7,1,N_LA_CM
SC_92563_18_31,12,N_LA_CM
SC_92563_19_58,0,N_LA_CM
SC_92563_19_5,0,N_LA_CM
SC_92563_19_0,75,N_LA_CM
SC_92563_19_7,0,N_LA_CM
SC_92563_21_59,6,N_LA_CM
SC_92563_21_39,1,N_LA_NCM
SC_92563_21_46,2,N_LA_NCM
SC_92563_21_47,6,N_LA_NCM
SC_92563_21_36,26,N_LA_NCM
SC_92563_21_42,0,N_LA_NCM
SC_92563_22_71,0,N_LA_NCM
SC_92563_21_43,49,N_LA_NCM
SC_92563_21_44,36,N_LA_NCM
SC_92563_21_38,0,N_LA_NCM
SC_92563_22_61,0,N_LA_NCM
SC_92563_22_15,26,N_LA_NCM
SC_92563_22_22,0,N_LA_NCM
SC_92563_23_45,0,N_LA_NCM
SC_92563_23_46,2,N_LA_NCM
SC_92563_22_23,0,N_LA_NCM
SC_92563_22_12,1,N_LA_NCM
SC_92563_23_36,0,N_LA_NCM
SC_92563_24_64,0,N_LA_NCM
SC_92563_24_66,0,N_LA_NCM
SC_92563_24_67,0,N_LA_NCM
SC_92563_24_62,1,N_LA_NCM
SC_92563_24_19,0,N_LA_NCM
SC_92563_24_20,0,N_LA_NCM
SC_92563_25_39,0,N_LA_NCM
SC_92563_25_40,0,N_LA_NCM
SC_92563_25_47,1,N_LA_NCM
SC_92563_25_42,1,N_LA_NCM
SC_92563_26_71,1,N_LA_NCM
SC_92563_26_66,13,N_LA_NCM
SC_92563_25_44,1,N_LA_NCM
SC_92563_26_61,1,N_LA_NCM
SC_92563_26_62,45,N_LA_NCM
SC_92563_21_17,0,N_LA_NCM
SC_92563_22_43,0,N_LA_NCM
SC_92563_22_44,8,N_LA_NCM
SC_92563_23_70,4,N_LA_NCM
SC_92563_23_15,1,N_LA_NCM
SC_92563_23_66,28,N_LA_NCM
SC_92563_23_17,0,N_LA_NCM
SC_92563_25_69,0,N_LA_NCM
SC_92563_25_70,35,N_LA_NCM
SC_92563_24_36,22,N_LA_NCM
SC_92563_24_42,0,N_LA_NCM
SC_92563_25_67,77,N_LA_NCM
SC_92563_25_16,0,N_LA_NCM
SC_92563_26_45,64,N_LA_NCM
SC_92563_25_17,0,N_LA_NCM
SC_92563_26_38,56,N_LA_NCM
SC_92563_22_51,38,N_LA_CM
SC_92563_21_32,14,N_LA_CM
SC_92563_22_11,8,N_LA_CM
SC_92563_23_29,0,N_LA_CM
SC_92563_23_35,0,N_LA_CM
SC_92563_23_30,20,N_LA_CM
SC_92563_24_10,24,N_LA_CM
SC_92563_24_0,0,N_LA_CM
SC_92563_24_7,10,N_LA_CM
SC_92563_25_33,10,N_LA_CM
SC_92563_25_25,0,N_LA_CM
SC_92563_25_32,4,N_LA_CM
SC_92563_26_55,13,N_LA_CM
SC_92563_22_27,3,N_LA_CM
SC_92563_22_35,17,N_LA_CM
SC_92563_22_30,0,N_LA_CM
SC_92563_22_25,0,N_LA_CM
SC_92563_22_32,18,N_LA_CM
SC_92563_23_5,1,N_LA_CM
SC_92563_23_7,6,N_LA_CM
SC_92563_25_52,0,N_LA_CM
SC_92563_24_35,0,N_LA_CM
SC_92563_24_24,2,N_LA_CM
SC_92563_24_30,32,N_LA_CM
SC_92563_26_28,15,N_LA_CM
SC_92563_25_11,7,N_LA_CM
SC_92563_25_1,1,N_LA_CM
SC_92563_26_15,0,N_LA_NCM
SC_92563_26_22,21,N_LA_NCM
SC_92563_27_39,51,N_LA_NCM
SC_92563_27_40,80,N_LA_NCM
SC_92563_26_12,48,N_LA_NCM
SC_92563_27_41,44,N_LA_NCM
SC_92563_27_42,0,N_LA_NCM
SC_92563_26_19,2,N_LA_NCM
SC_92563_27_37,0,N_LA_NCM
SC_92563_27_44,101,N_LA_NCM
SC_92563_28_64,0,N_LA_NCM
SC_92563_28_60,10,N_LA_NCM
SC_92563_29_45,1,N_LA_NCM
SC_92563_30_70,7,N_LA_NCM
SC_92563_29_47,0,N_LA_NCM
SC_92563_29_36,47,N_LA_NCM
SC_92563_30_60,9,N_LA_NCM
SC_92563_29_38,0,N_LA_NCM
SC_92563_30_17,18,N_LA_NCM
SC_92563_30_19,54,N_LA_NCM
SC_92563_30_20,1,N_LA_NCM
SC_92563_31_44,18,N_LA_NCM
SC_92563_27_15,0,N_LA_NCM
SC_92563_27_16,0,N_LA_NCM
SC_92563_27_23,0,N_LA_NCM
SC_92563_27_12,0,N_LA_NCM
SC_92563_27_20,46,N_LA_NCM
SC_92563_29_63,0,N_LA_NCM
SC_92563_28_36,0,N_LA_NCM
SC_92563_28_38,19,N_LA_NCM
SC_92563_29_67,23,N_LA_NCM
SC_92563_29_62,0,N_LA_NCM
SC_92563_29_15,14,N_LA_NCM
SC_92563_29_16,1,N_LA_NCM
SC_92563_30_39,0,N_LA_NCM
SC_92563_30_46,0,N_LA_NCM
SC_92563_29_17,0,N_LA_NCM
SC_92563_29_18,0,N_LA_NCM
SC_92563_30_42,1,N_LA_NCM
SC_92563_29_13,9,N_LA_NCM
SC_92563_29_19,29,N_LA_NCM
SC_92563_30_43,0,N_LA_NCM
SC_92563_31_63,0,N_LA_NCM
SC_92563_31_15,5,N_LA_NCM
SC_92563_31_60,10,N_LA_NCM
SC_92563_31_67,0,N_LA_NCM
SC_92563_26_11,60,N_LA_CM
SC_92563_26_1,66,N_LA_CM
SC_92563_27_25,1,N_LA_CM
SC_92563_27_26,16,N_LA_CM
SC_92563_28_52,16,N_LA_CM
SC_92563_28_9,2,N_LA_CM
SC_92563_28_4,0,N_LA_CM
SC_92563_28_11,1,N_LA_CM
SC_92563_28_0,8,N_LA_CM
SC_92563_28_6,10,N_LA_CM
SC_92563_28_49,3,N_LA_CM
SC_92563_28_1,24,N_LA_CM
SC_92563_29_28,13,N_LA_CM
SC_92563_29_34,9,N_LA_CM
SC_92563_30_52,19,N_LA_CM
SC_92563_29_29,7,N_LA_CM
SC_92563_29_30,18,N_LA_CM
SC_92563_30_48,25,N_LA_CM
SC_92563_29_26,1,N_LA_CM
SC_92563_30_4,0,N_LA_CM
SC_92563_31_27,0,N_LA_CM
SC_92563_30_5,22,N_LA_CM
SC_92563_30_1,7,N_LA_CM
SC_92563_30_2,26,N_LA_CM
SC_92563_27_51,15,N_LA_CM
SC_92563_27_4,1,N_LA_CM
SC_92563_27_10,4,N_LA_CM
SC_92563_27_53,30,N_LA_CM
SC_92563_27_0,27,N_LA_CM
SC_92563_27_55,3,N_LA_CM
SC_92563_27_7,15,N_LA_CM
SC_92563_27_8,10,N_LA_CM
SC_92563_28_28,5,N_LA_CM
SC_92563_29_57,2,N_LA_CM
