"Gene","Expression"
"ADCY5",0.969982847341338
"MTSS1",0.96798170383076
"ACTG1",0.967124070897656
"FAM172A",0.965980560320183
"CLASP2",0.965837621497999
"STK33",0.965122927387078
"FOCAD",0.963264722698685
"ENOX1",0.956546598056032
"DIAPH2",0.955546026300743
"TNNI3",0.951686678101772
"TMTC1",0.951114922813036
"ITGAV",0.950829045168668
"VPS13A",0.950400228702115
"SLC4A3",0.948256146369354
"SLCO3A1",0.944253859348199
"TMEM117",0.943967981703831
"CCSER2",0.942681532304174
"VPS8",0.942252715837621
"TRAK2",0.940394511149228
"NDUFV1",0.940394511149228
"NUTM2A-AS1",0.938393367638651
"MAPRE2",0.937535734705546
"CHCHD10",0.936678101772441
"ITPR2",0.936106346483705
"RUNX1T1",0.935105774728416
"PAPD4",0.934248141795312
"STAT3",0.929531160663236
"BRAF",0.927958833619211
"EPS15",0.926100628930818
"FUS",0.925957690108633
"PRKAR1A",0.924385363064608
"PSME4",0.922527158376215
"ITFG1",0.92095483133219
"EIF1B",0.919811320754717
"SLC25A12",0.918238993710692
"BMPR1A",0.918096054888508
"TEAD1",0.916666666666667
"STXBP6",0.915809033733562
"NDRG4",0.915809033733562
"HIPK2",0.914951400800457
"PAFAH1B1",0.914951400800457
"SYNE2",0.912521440823328
"FBN2",0.911949685534591
"RBM6",0.911092052601487
"PICALM",0.908376214979989
"REV3L",0.907518582046884
"ATP1B1",0.906946826758148
"ZMYM2",0.903516295025729
"AIG1",0.902801600914808
"TGFBR2",0.90180102915952
"SRSF5",0.900943396226415
"MYOM3",0.899085191538022
"NMRK2",0.897655803316181
"TBL1XR1",0.896512292738708
"MLLT10",0.895940537449971
"EPS8",0.895940537449971
"HECW2",0.893939393939394
"ANKH",0.892224128073185
"ABCC5",0.891795311606632
"VPS13C",0.891223556317896
"TRIQK",0.890508862206975
"ACOT11",0.88893653516295
"LCLAT1",0.883933676386507
"RBM24",0.883504859919954
"MLF1",0.88093196112064
"PPP1R13B",0.880789022298456
"ST3GAL6",0.880360205831904
"ATRX",0.88021726700972
"ZCCHC7",0.88021726700972
"FRYL",0.879931389365352
"LAMA4",0.879931389365352
"PRELID2",0.879788450543168
"ANKRD12",0.879216695254431
"SRSF10",0.877215551743854
"NHLRC2",0.876643796455117
"PRKCE",0.875071469411092
"ANKRD2",0.874070897655803
"NKTR",0.873356203544883
"GOT1",0.872784448256146
"DCAF6",0.872355631789594
"PTP4A3",0.871355060034305
"RNF207",0.869496855345912
"AFG3L2",0.86906803887936
"UMAD1",0.868782161234991
"PPP1R1C",0.868496283590623
"SMG1",0.868496283590623
"ELMO1",0.867638650657519
"CDC37",0.866781017724414
"NBAS",0.864922813036021
"ATP5B",0.862349914236707
"C14orf180",0.859777015437393
"GPATCH8",0.859634076615209
"MYH9",0.857918810748999
"TXLNB",0.857347055460263
"PBX3",0.856775300171527
"KIF1B",0.856060606060606
"GAS2",0.855631789594054
"TLN2",0.855345911949686
"VTI1A",0.855202973127501
"HECTD1",0.855202973127501
